team,total_rebounds,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency_index
ATL,3508,100,93.405591,660,2337,1453,8107,832,2676,1846,645,381,1201,1432,292.034090239518
BOS,3442,63,91.915088,985,2183,1536,8857,744,2698,2069,617,340,1037,1686,271.8134578795365
BRK,3386,70,76.215674,777,2040,1444,7855,689,2697,1664,568,382,1212,1620,322.1206238044241
CHI,3284,59,92.501887,565,2162,1330,7349,865,2419,1746,605,339,956,1275,274.641712964868
CHO,3236,63,88.504773,808,2089,1497,8099,621,2615,1806,543,316,820,1177,270.3153057622746
CLE,3408,145,127.254579,1030,2148,1384,8770,735,2673,1779,483,304,1020,1356,333.18668884726713
DAL,2584,65,92.8283,712,1754,1007,6651,521,2063,1183,507,257,674,1229,285.72724020684024
DEN,3532,83,79.028222,868,2351,1477,8783,872,2660,2015,543,286,1102,1475,309.34027591618207
DET,3746,55,103.074487,631,2638,1140,8309,908,2838,1732,574,310,932,1467,270.5206462083757
GSW,3639,113,100.242565,982,2545,1455,9491,770,2869,2486,782,554,1179,1581,292.78615846374015
HOU,3465,70,87.392332,1140,2011,1623,9065,857,2608,1969,617,331,1113,1473,300.8000045938449
IND,3444,95,92.620837,709,2512,1467,8618,742,2702,1844,669,409,1087,1597,276.2582764218599
LAC,3528,124,114.77662,841,2401,1586,8911,738,2790,1848,612,347,1022,1626,271.08212627153586
LAL,3002,65,85.12544,582,2069,1021,6905,789,2213,1334,510,267,972,1444,258.4659996845709
MEM,3462,90,108.945842,757,2176,1489,8112,880,2582,1725,629,335,993,1798,288.3657274819011
MIA,3504,63,72.944376,799,2349,1217,8312,856,2648,1728,579,464,1019,1647,301.17231947375296
MIL,3312,83,104.646574,720,2462,1413,8497,723,2589,1984,666,436,1096,1660,298.7986908046177
MIN,3448,48,59.878274,599,2607,1580,8591,932,2516,1924,641,368,1085,1620,260.07448173856415
NOP,2828,78,94.03547499999999,519,1956,1128,6597,580,2248,1531,502,380,828,1168,321.40731767383215
NYK,3554,59,97.10691700000001,636,2445,1262,8060,962,2592,1499,526,451,975,1584,273.8031196437978
OKC,3564,55,86.981364,611,2380,1511,8104,936,2628,1610,595,395,1133,1561,279.0951289691863
ORL,3159,62,104.110336,618,2178,1232,7442,707,2452,1760,546,305,987,1445,270.70987772270655
PHI,3044,39,56.293357,718,1960,1225,7299,690,2354,1816,613,375,1197,1573,338.46271645516106
PHO,3346,73,73.282578,569,2554,1615,8430,882,2464,1531,588,385,1171,1887,296.2003411952131
POR,3134,43,102.488763,847,2148,1386,8223,706,2428,1508,522,342,978,1581,264.665553855617
SAC,2401,77,88.277202,562,1838,998,6360,525,1876,1402,506,232,850,1303,295.75263240586895
SAS,3598,99,105.395531,753,2469,1440,8637,821,2777,1954,655,484,1057,1498,268.43832425376854
TOR,3382,57,108.458469,626,2359,1570,8166,847,2535,1469,620,379,932,1609,288.6522771827692
UTA,3545,71,80.323193,791,2242,1401,8258,771,2774,1651,550,410,1060,1545,272.0747599095735
WAS,3370,57,100.785911,718,2526,1368,8574,806,2564,1893,655,325,1062,1643,268.50992019319045
